! GRIB2  - WMO Parameter Table
!
!D#  = Discipline number
!CT# = Category number (Octet 10, Code Table 4.2)
!ID# = Parameter number (Octet 11)
!PD# = Product Definition Template number (Octet 8-9, Code Table 4.0)
!
! temperature
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
!000 004 006 000 Radiance (w/r to wave length)    W m**-3 sr**-1       ????             ?  -9999.00
!
! long-wave radiation
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 005 000 000 Net Long-Wave Rad (sfc)          W m**-2              SNOR             0  -9999.00
000 005 001 000 Net Long-Wave Rad (toa)          W m**-2              LWRT             0  -9999.00
!000 005 002 000 Long-Wave Radiation Flux         W m**-2              ????             0  -9999.00
!
! cloud
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 006 000 000 Cloud Ice                        kg m**-2             CICE             0  -9999.00
000 006 001 000 Total Cloud Cover                %                    CLD              0  -9999.00
000 006 001 011 Total Cloud Cover                %                    CLD              0  -9999.00
000 006 001 012 Total Cloud Cover                %                    CLD              0  -9999.00
000 006 002 000 Convective Cloud Cover           %                    CCLD             0  -9999.00
000 006 003 000 Low Cloud Cover                  %                    CLDL             0  -9999.00
000 006 004 000 Medium Cloud Cover               %                    CLDM             0  -9999.00
000 006 005 000 High Cloud Cover                 %                    CLDH             0  -9999.00
000 006 006 000 Cloud Water                      kg m**-2             CWTR             0  -9999.00
!000 006 007 000 Cloud Amount                     %                    ????             ?  -9999.00
!000 006 008 000 Cloud Type                       code table           ????             ?  -9999.00
!000 006 009 000 Thunderstorm Maximum Tops        m                    ????             ?  -9999.00
!000 006 010 000 Thunderstorm Coverage            code table           ????             ?  -9999.00
!000 006 011 000 Cloud Base                       m                    ????             ?  -9999.00
!000 006 012 000 Cloud Top                        m                    ????             ?  -9999.00
!000 006 013 000 Ceiling                          m                    ????             ?  -9999.00
000 006 025 000 Horizontal Extent of CB          %                    CBHE             0  -9999.00
!
! thermodynamic stability indices 
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 007 000 000 Parcel Lifted Index (500hPa)     K                    LIFT             0  -9999.00
000 007 000 005 Parcel Lifted Index (500hPa)     K                    LIFT             0  -9999.00
000 007 001 000 Best Lifted Index (500hPa)       K                    LFT4             0  -9999.00
!000 007 002 000 K Index                          K                    ????             ?  -9999.00
!000 007 003 000 KO Index                         K                    ????             ?  -9999.00
!000 007 004 000 Total Totals Index               K                    ????             ?  -9999.00
!000 007 005 000 Sweat Index                      K                    ????             ?  -9999.00
000 007 006 000 Conv Available Pot Energy        J K**-1              CAPE             0  -9999.00
000 007 006 001 Conv Available Pot Energy        J K**-1              CAPE             0  -9999.00
000 007 006 002 Conv Available Pot Energy        J K**-1              CAPE             0  -9999.00
000 007 006 005 Conv Available Pot Energy Prob   J K**-1              CAPE             0  -9999.00
000 007 007 000 Convective Inhibition            J K**-1              CINH             0  -9999.00
000 007 007 001 Convective Inhibition            J K**-1              CINH             0  -9999.00
000 007 007 002 Convective Inhibition            J K**-1              CINH             0  -9999.00
000 007 007 005 Convective Inhibition            J K**-1              CINH             0  -9999.00
000 007 008 000 Storm Relative Helicity          J K**-1              HLCY             0  -9999.00
000 007 008 005 Storm Relative Helicity          J K**-1              HLCY             0  -9999.00
!000 007 009 000 Energy Helicity Index            J K**-1              ????             ?  -9999.00
!
! aerosols 
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
!000 013 000 000 Aerosol Type                     code table           ????            ?  -9999.00
!
! trace gases
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 014 000 000 Total ozone                      Dobson units         TOZO             0  -9999.00
!
! radar
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
!000 015 000 000 Base Spectrum Width              m s**-1              ????             ?  -9999.00
!000 015 001 000 Base Reflectivity                dB                   ????             ?  -9999.00
!000 015 002 000 Base Radial Velocity             m s**-1              ????             ?  -9999.00
!000 015 003 000 Vertically-Integrated Liquid     kg m**-1             ????             ?  -9999.00
!000 015 004 000 Layer-Max Base Reflectivity      dB                   ????             ?  -9999.00
000 015 005 000 Precipitation                    kg m**-2             L--M             0     -0.01
!000 015 006 000 Radar Spectra (1)                -                    ????             ?  -9999.00
!000 015 007 000 Radar Spectra (2)                -                    ????             ?  -9999.00
!000 015 008 000 Radar Spectra (3)                -                    ????             ?  -9999.00
!
! electrodynamics
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 017 000 000 Lightning Strike Density         m**-2 s**-1          LTNGSD          11  -9999.00
!
! nuclear/radiology
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
!000 018 000 000 Air Concentration Caesium137     Bq m**-3             ????             ?  ?????.??
!000 018 001 000 Air Concentration Iodine131      Bq m**-3             ????             ?  ?????.??
!000 018 002 000 Air Concentr Rad Act Polluts     Bq m**-3             ????             ?  ?????.??
!000 018 003 000 Ground Deposition Caesium137     Bq m**-3             ????             ?  ?????.??
!000 018 004 000 Ground Deposition Iodine131      Bq m**-3             ????             ?  ?????.??
!000 018 005 000 Grn Depositn Rad Act Polluts     Bq m**-3             ????             ?  ?????.??
!
! physical atmospheric properties
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
000 019 000 000 Visibility                       m                    VSBY             0  -9999.00
000 019 000 005 Visibility                       m                    VSBY             0  -9999.00
000 019 001 008 Albedo                           %                    ALBD             0  -9999.00
000 019 002 000 Thunderstorm probability         %                    TSTM             0  -9999.00
000 019 003 000 Mixed layer depth                m                    MIXL             0  -9999.00
!000 019 004 000 Volcanic Ash                     code table           ????             ?  ?????.??
!000 019 005 000 Icing Top                        m                    ????             ?  ?????.??
!000 019 006 000 Icing Base                       m                    ????             ?  ?????.??
!000 019 007 000 Icing                            code table           ????             ?  ?????.??
!000 019 008 000 Turbulence Top                   m                    ????             ?  ?????.??
!000 019 009 000 Turbulence Base                  m                    ????             ?  ?????.??
!000 019 010 000 Turbulence                       code table           ????             ?  ?????.??
!000 019 011 000 Turbulent Kinetic Energy         J kg**-1             ????             ?  ?????.??
!000 019 012 000 Planet Boundary Layer Regime     code table           ????             ?  ?????.??
!000 019 013 000 Contrails Intencity              code table           ????             ?  ?????.??
!000 019 014 000 Contrails Engine Type            code table           ????             ?  ?????.??
!000 019 015 000 Contrails Top                    m                    ????             ?  ?????.??
!000 019 016 000 Contrails Base                   m                    ????             ?  ?????.??
000 019 020 015 Icing                             %                   ICIP             0  -9999.00
000 019 021 015 In-Cloud Turbulence               %                   TURB             0  -9999.00
000 019 022 015 Clear Air Turbulence              %                   CATRB            0  -9999.00
!
! Product Discipline 10 - Oceanographic Products
! CATEGORY 0 - Waves category
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
010 000 000 000 Wave Spectra (1)                 -                    WVSP1            0  -9999.00
010 000 001 000 Wave Spectra (2)                 -                    WVSP2            0  -9999.00
010 000 002 000 Wave Spectra (3)                 -                    WVSP3            0  -9999.00
010 000 003 000 Sig Hght Comb Wind Waves + Swell m                    HTSGW            0  -9999.00
010 000 004 000 Direction of Wind Waves          Degree True          WVDIR            0  -9999.00
010 000 005 000 Significant Height of Wind Waves m                    WVHGT            0  -9999.00
010 000 006 000 Mean Period of Wind Waves        s                    WVPER            0  -9999.00
010 000 007 000 Direction of Swell Waves         Degree True          SWDIR            0  -9999.00
010 000 008 000 Significant Hght of Swell Waves  m                    SWELL            0  -9999.00
010 000 009 000 Mean Period of Swell Waves       s                    SWPER            0  -9999.00
010 000 010 000 Primary Wave Direction           Degree True          DIRPW            0  -9999.00
010 000 011 000 Primary Wave Mean Period         s                    PERPW            0  -9999.00
010 000 012 000 Secondary Wave Direction         Degree True          DIRSW            0  -9999.00
010 000 013 000 Secondary Wave Mean Period       s                    PERSW            0  -9999.00
010 000 192 000 Wave Steepness                   -                    WSTP             0  -9999.00
!
! CATEGORY 2 - Ice
!D# CT# ID# PD# NAME                             UNITS                GNAM         SCALE   MISSING
!23|123|123|123|12345678901234567890123456789012|12345678901234567890|123456789012|12345|123456.89
010 020 006 000 Ice Growth Rate                  m/s                  ICEG             0  -9999.00
