! GRDNAV.TBL
!
! This table contains information used for the navigation and analysis headers
! of a GEMPAK grid file.
!
! ID    - alias used to reference a particular grid definition
! #     - nmeric reference to a particular grid definition; typically used
!         as '#101' 
!
! See help for PROJ for the next 4 columns:
! PRJ   - grid projection, e.g., 'STR' is stereographic
! A1    - Angle #1 per GEMPAK projection definitions.
! A2    - Angle #2 per GEMPAK projection definitions.
! A3    - Angle #3 per GEMPAK projection definitions.
!
! See help for GAREA for the next 4 columns wrt specifying corner points:
! LLT   - Latitude  of lower-left  corner of grid
! LLN   - Longitude of lower-left  corner of grid
! ULT   - Latitude  of upper-right corner of grid
! ULN   - Longitude of upper-right corner of grid
!
! KX    - Number of gridpoints in X-direction (horizontal)
! KY    - Number of gridpoints in Y-direction (vertical)
!
! The following will apply only if grid will be used by the Barnes analysis
! in one of the GEMPAK OA (Objective Analysis) programs, e.g., OABSFC or OABSND.
! DELN  - Delta-N for Barnes analysis
! X     - Grid size increase, first pass, for Barnes analysis
!
!!
! Log:
! S. Jacobs/NCEP	 9/97	General cleanup; Added header and log
! S. Jacobs/NCEP	 9/97	Modified A204, A208, A210; Moved G210 to G310
! M. Li/GSC		 5/00	Added ET32, A219-221, A224, A225, and A234
! K. Brill/HPC		 3/03	Added A217
! K. Brill/HPC		 3/03	Fixed grid A220 definition
! T. Lee/SAIC		 2/04	Changed AVN to GFS
! K. Brill/HPC		 4/04	Added RUC2 grid (A236) & fixed grid 218 specs
! D.W.Plummer/NCEP	 3/05	Added NDFD
! D.W.Plummer/NCEP	11/05	Supplement documentation
! F. J. Yen/NCEP	 7/08	Added comment-ASTG (grid 255) for staggered grid
!
!ID    # PRJ  A1   A2  A3     LLT      LLN     ULT      ULN  KX  KY DELN X
N028  28 STR -90  -80   0  20.826  145.000  20.826  -35.000  65  65 2.00 0
NHLL  29 CED   0    0   0   0.000    0.000  90.000    0.000 145  37 2.50 0
SHLL  30 CED   0    0   0 -90.000    0.000   0.000    0.000 145  37 2.50 0
RUC   87 STR  90 -105   0  22.875 -120.491  46.017  -60.829  81  62 1.50 0
ET80  90 CED  52 -111   0    .182 -149.887  49.115   -4.561 183 141 1.00 0
ET32  92 CED  50 -107   0    .407 -144.094  51.822   -4.699 445 365 1.00 0
ET29  94 CED  41  -97   0   9.678 -128.826  53.708  -35.567 361 271 1.00 0
ET48  96 CED  50 -111   0  -3.441 -148.799  50.026   -3.230 319 261 1.00 0
ET15  99 CED  33  -83   0  17.912  -98.303  45.508  -62.002 311 295 1.00 0
OLDC 100 STR  90 -105   0  17.108 -129.296  53.510  -22.374  83  83 1.50 0
NGMC 101 STR  90 -105   0  10.528 -137.146  44.495  -16.576 113  91 1.00 0
N102 102 STR  90 -105   0  24.620 -107.862  45.166  -63.674 115 125 0.75 0
N103 103 STR  90 -105   0  22.405 -121.352  48.920  -50.811  65  56 1.00 0
N104 104 STR  90 -105   0  -0.268 -139.475  32.747  -14.599 147 110 0.75 0
N105 105 STR  90 -105   0  17.529 -129.296  53.771  -22.374  83  83 1.50 0
G106 106 STR  90 -105   0  17.529 -129.296  46.899  -49.765 165 117 0.50 0
E10W 192 CED  40 -115   0  29.366 -126.316  49.150  -99.844 301 305 0.50 0
E15A 194 CED  63 -150   0  46.155 -172.712  70.200  -97.858 325 289 0.50 0
E10E 196 CED  34  -86   0  23.476  -96.745  43.337  -72.401 301 305 0.50 0
A201 201 STR  90 -105   0 -20.826 -150.000 -20.826   30.000  65  65 2.00 0
A202 202 STR  90 -105   0   7.838 -141.028  35.617  -18.576  65  43 2.00 0
A203 203 STR  90 -150   0  19.132  174.163  57.634  -53.660  45  39 2.00 0
A204 204 MER   0    0   0 -25.000  110.000  60.645 -109.128  93  68 4.00 0
A205 205 STR  90  -60   0   0.616  -84.904  45.620  -15.000  45  39 3.00 0
A206 206 LCC  25  -95  25  22.289 -117.991  50.072  -73.182  51  41 3.00 0
A207 207 STR  90 -150   0  42.085 -175.641  63.976  -93.689  49  35 3.00 0
A208 208 MER   0    0   0   9.343 -167.315  28.092 -145.878  29  27 4.00 0
A209 209 LCC  25  -95  25  22.289 -117.991  50.072  -73.182 101  81 2.00 0
A210 210 MER   0    0   0   9.000  -77.000  26.422  -58.625  25  25 4.00 0
A211 211 LCC  25  -95  25  12.190 -133.459  57.290  -49.385  93  65 1.00 0
A212 212 LCC  25  -95  25  12.190 -133.459  57.290  -49.385 185 129 0.50 0
A213 213 STR  90 -105   0   7.838 -141.028  35.617  -18.576 129  85 0.75 0
A214 214 STR  90 -150   0  42.085 -175.641  63.976  -93.690  97  69 0.75 0
A215 215 LCC  25  -95  25  12.190 -133.459  57.290  -49.385 369 257 0.50 0
A216 216 STR  90 -135   0  30.000 -173.000  70.111  -62.850 139 107 0.75 0
A217 217 STR  90 -135   0  30.000 -173.000  70.111  -62.850 277 213 0.50 0
A218 218 LCC  25  -95  25  12.190 -133.459  57.328  -49.420 614 428 0.50 0
A219 219 STR  90  -80   0  25.008 -119.559  24.028   60.339 385 465 1.00 0
A220 220 STR -90  -80   0 -36.866  139.806 -31.850  -31.899 345 355 1.00 0 
A221 221 LCC  50 -107  50   1.000 -145.500  46.352   -2.566 349 277 1.00 0
A224 224 STR  90 -105   0  20.826  120.000  20.826  -60.000  65  65 2.00 0
A225 225 MER   0    0   0 -25.000  110.000  60.644 -109.129 185 135 1.00 0
A234 234 CED   0    0   0  15.000  262.000 -45.000  295.000 133 121 1.00 0 
A236 236 LCC  25  -95  25  16.281 -126.138  55.481  -57.381 151 113 1.00 0
A250 250 CED   0    0   0  15.000 -140.000  60.000  -50.00  181  91 0.50 0
!ASTG 255 CED  54 -106   0  -7.446 -144.140  44.560   14.745 1337 1165 .50 0
SFUS 301 CED   0    0   0  25.000 -125.000  50.000  -65.000  61  26 1.00 2
SFWV 302 CED   0    0   0  33.000  -89.000  44.000  -73.000  17  12 1.00 2
OCT  306 STR  90  -80   0  -4.860 -122.610  -4.860   57.390  47  51 6.00 0
G310 310 STR  90 -105   0  17.529 -129.296  46.899  -49.765 165 117 0.50 0
SNUS 311 CED   0    0   0  24.000 -125.000  50.000  -65.000  31  14 3.75 2
SNWV 312 CED   0    0   0  33.000  -89.000  43.000  -73.000   9   6 3.75 2
LFMG 506 STR  90 -105   0   7.647 -133.443  44.288  -23.746  53  45 3.75 0
EC01 701 CED   0    0   0 -35.000 -180.000  35.000  -90.000  37  29 4.00 0
EC02 702 CED   0    0   0   0.000  -90.000  90.000    0.000  37  37 4.00 0
GG01 703 CED   0    0   0 -90.000    0.000  90.000   -1.000 360 181 2.00 0
AFNA 801 STR  90 -105   0  10.430 -135.020  40.310  -23.040 4096 3072 4.00 0
AFNH 802 STR  90 -105   0  -6.800 -155.190  -3.580   18.760 4096 3072 4.00 0
AFUS 803 STR  90 -105   0  23.100 -119.040  44.630  -63.440 4096 3072 4.00 0
AFWH 804 MER   0    0   0 -48.600  170.700  69.400   15.400 4096 3072 4.00 0
AFEH 805 MER   0    0   0 -48.600   -9.300  69.400 -164.600 4096 3072 4.00 0
AFPC 806 MER   0    0   0 -48.600   80.700  69.400  -74.600 4096 3072 4.00 0
RCM  906 STR  90 -105   0  23.090 -119.036  45.619  -60.000 113  89 3.75 0
